video_name,action_class_00,action_class_01,action_class_02,action_class_03,action_class_04,action_class_05,action_class_06,action_class_07,action_class_08,action_class_09,action_class_10,action_class_11,action_class_12,action_class_13,action_class_14,action_class_15,action_class_16,action_class_17,action_class_18,action_class_19,action_class_20,action_class_21,action_class_22,action_class_23,action_class_24,action_class_25,action_class_26,action_class_27,action_class_28,action_class_29,action_class_30,action_class_31,action_class_32,action_class_33,action_class_34,action_class_35,action_class_36,action_class_37,action_class_38,action_class_39,action_class_40,action_class_41,action_class_42,action_class_43,action_class_44,action_class_45,action_class_46,action_class_47,action_class_48,action_class_49,action_class_50,action_class_51
004_t1_20230217,0,0,0,0,1,19,0,0,40,111,127,1,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,1,0
005_t1_20230519,0,0,0,0,0,1,0,0,0,41,94,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0
007_t1_20230302,0,0,0,0,1,5,0,0,77,51,111,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,2,0
008_t1_20230327,0,0,0,0,8,29,1,0,181,43,336,0,1,0,0,0,0,0,0,0,1,0,207,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,21,0
013_t1_20230310,0,0,0,0,1,7,0,0,84,65,241,2,2,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,7,0
028_t1_20230315,0,0,0,0,1,0,0,0,24,12,171,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
044_t1_2023-01-18_12-26-49,0,0,0,0,2,8,0,0,16,126,526,2,0,0,0,0,0,0,0,0,0,1,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,1,0
052_t1_20230627,0,0,0,0,1,7,0,0,2,0,42,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,1,0
060_t1_20230626,0,0,0,0,1,64,0,0,142,76,174,2,1,0,0,0,0,0,0,0,0,0,164,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,2,0
071_t1_20230721,0,0,0,0,1,7,15,0,2,2,277,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,7,0
074_t1_20230704,0,0,0,0,1,10,0,0,39,31,77,2,0,1,0,0,0,0,0,0,0,0,199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,10,0
077_t1_20230414,0,0,0,0,2,16,5,0,41,18,289,0,4,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,18,0
093_t1_OBS_2023-03-09,0,0,0,0,0,171,0,22,19,62,98,0,12,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0
094_t1_20230214,0,0,0,0,0,51,0,8,70,48,3,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
096_t1_20230505_1,0,0,0,0,0,52,0,0,101,5,333,0,0,0,0,0,0,0,0,0,0,0,266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,1,3,0
096_t1_20230512_2,0,0,0,0,0,23,0,0,179,57,448,0,5,0,0,0,0,0,0,0,0,0,186,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,16,0
1006_t1_20241107,0,0,0,0,1,17,5,0,10,0,198,0,3,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0
100_t1_20230323,0,0,0,0,4,14,1,0,110,7,376,1,1,0,0,0,0,0,0,0,0,1,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1,44,0
1014_t1_20241119,0,0,0,0,1,11,5,0,20,8,165,0,1,0,0,0,0,0,0,0,0,0,51,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2,0
1016_t1_20241205,0,0,0,0,2,2,0,0,3,39,135,1,2,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0
1017_t1_20241202,0,0,0,0,0,8,0,0,0,30,280,2,5,0,0,0,0,0,0,0,0,0,193,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
1024_t1_20241104,0,0,0,0,3,2,0,0,107,47,346,20,0,0,0,0,0,0,0,0,0,0,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,1,2,0
1025_t1_20241203,0,0,0,0,0,5,0,0,7,65,48,2,2,0,0,0,0,0,0,0,0,0,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0
1028_t1_20241118,0,0,0,0,0,2,0,0,71,16,209,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1029_t1_20241104,0,0,0,0,3,22,0,0,0,18,122,0,1,0,0,0,0,0,0,0,0,0,122,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,1,1,0
1034_t1_20241213,0,0,0,0,1,6,0,0,95,65,84,0,0,0,0,0,0,0,0,0,0,1,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,4,0
1037_t1_20250130,0,0,0,0,0,4,0,0,8,91,191,0,0,0,0,0,0,0,0,0,0,1,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,49,0
1040_t1_20241119,0,0,0,0,0,19,0,0,3,11,163,1,0,0,0,0,0,0,0,0,0,0,265,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0
1053_t1_20241206,0,0,0,0,2,3,0,0,57,7,459,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,0
1055_t1_20241122,0,0,0,0,1,2,0,0,8,4,320,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
1060_t1_20250131,0,0,0,0,7,28,0,0,18,106,425,0,0,0,0,0,0,2,0,0,0,0,95,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0
1061_t1_20241202,0,0,0,0,5,9,0,0,3,69,53,0,0,0,0,0,0,0,0,0,0,0,134,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,1,0
1068_t1_2024_11_24,0,0,0,0,0,8,0,0,58,11,102,0,1,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,1,0
