video_name,action_class_00,action_class_01,action_class_02,action_class_03,action_class_04,action_class_05,action_class_06,action_class_07,action_class_08,action_class_09,action_class_10,action_class_11,action_class_12,action_class_13,action_class_14,action_class_15,action_class_16,action_class_17,action_class_18,action_class_19,action_class_20,action_class_21,action_class_22,action_class_23,action_class_24,action_class_25,action_class_26,action_class_27,action_class_28,action_class_29,action_class_30,action_class_31,action_class_32,action_class_33,action_class_34,action_class_35,action_class_36,action_class_37,action_class_38,action_class_39,action_class_40,action_class_41,action_class_42,action_class_43,action_class_44,action_class_45,action_class_46,action_class_47,action_class_48,action_class_49,action_class_50,action_class_51
004_t1_20230217,0.0,0.0,0.0,0.0,0.0020871088818077968,0.03965506875434815,0.0,0.0,0.08348435527231188,0.23166908588066545,0.26506282798959024,0.0020871088818077968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13566207731750682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24001752140789664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020871088818077968,0.0
005_t1_20230519,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.0,0.0,0.12202380952380952,0.27976190476190477,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06845238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5208333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007_t1_20230302,0.0,0.0,0.0,0.0,0.0033003300330033,0.0165016501650165,0.0,0.0,0.2541254125412541,0.1683168316831683,0.3663366336633663,0.0,0.0033003300330033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066006600660066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11551155115511551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066006600660066,0.0
008_t1_20230327,0.0,0.0,0.0,0.0,0.007524064233215028,0.027274732845404475,0.0009405080291518784,0.0,0.17023195327649,0.04044184525353078,0.31601069779503116,0.0,0.0009405080291518784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009405080291518784,0.0,0.19468516203443884,0.0009405080291518784,0.0009405080291518784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22007887882153954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019750668612189447,0.0
013_t1_20230310,0.0,0.0,0.0,0.0,0.0012437810945273632,0.008706467661691543,0.0,0.0,0.1044776119402985,0.08084577114427861,0.2997512437810945,0.0024875621890547263,0.0024875621890547263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21641791044776118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27487562189054726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008706467661691543,0.0
028_t1_20230315,0.0,0.0,0.0,0.0,0.0036900369003690036,0.0,0.0,0.0,0.08856088560885608,0.04428044280442804,0.6309963099630996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08118081180811808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15129151291512913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
044_t1_2023-01-18_12-26-49,0.0,0.0,0.0,0.0,0.0013368211712864015,0.005347284685145606,0.0,0.0,0.010694569370291212,0.08421973379104329,0.3515839680483236,0.0013368211712864015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006684105856432007,0.24263304258848187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30212158471072675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006684105856432007,0.0
052_t1_20230627,0.0,0.0,0.0,0.0,0.004166666666666667,0.029166666666666664,0.0,0.0,0.008333333333333333,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42916666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0
060_t1_20230626,0.0,0.0,0.0,0.0,0.0011655011655011655,0.07459207459207459,0.0,0.0,0.1655011655011655,0.08857808857808858,0.20279720279720279,0.002331002331002331,0.0011655011655011655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1911421911421911,0.003496503496503496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26689976689976685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002331002331002331,0.0
071_t1_20230721,0.0,0.0,0.0,0.0,0.0029154518950437313,0.02040816326530612,0.043731778425655975,0.0,0.005830903790087463,0.005830903790087463,0.8075801749271135,0.0029154518950437313,0.0029154518950437313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02623906705539358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06122448979591836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0
