video_name,category_A,category_B,category_C,category_D,category_E,category_F,category_G,total_segments
004_t1_20230217,1,297,66,0,0,115,1,480
005_t1_20230519,0,136,25,0,0,175,0,336
007_t1_20230302,1,244,21,0,0,35,2,303
008_t1_20230327,8,590,210,1,0,234,21,1064
013_t1_20230310,1,397,178,0,0,221,7,804
028_t1_20230315,1,207,22,0,0,41,0,271
044_t1_2023-01-18_12-26-49,2,676,366,0,0,452,1,1497
052_t1_20230627,1,51,84,0,0,103,1,240
060_t1_20230626,1,456,170,0,0,229,2,858
071_t1_20230721,1,303,11,0,0,21,7,343
074_t1_20230704,1,157,204,0,0,195,10,567
077_t1_20230414,2,369,51,0,0,129,18,569
093_t1_OBS_2023-03-09,0,372,23,0,0,186,0,581
094_t1_20230214,0,180,6,0,0,63,0,249
096_t1_20230505_1,0,491,267,0,0,215,4,977
096_t1_20230512_2,0,707,194,0,0,328,16,1245
1006_t1_20241107,1,230,22,0,0,18,1,272
100_t1_20230323,4,508,83,1,0,36,45,677
1014_t1_20241119,1,209,60,0,0,26,2,298
1016_t1_20241205,2,179,32,0,0,108,0,321
1017_t1_20241202,0,318,222,0,0,53,0,593
1024_t1_20241104,3,502,150,0,0,310,3,968
1025_t1_20241203,0,125,83,0,0,164,0,372
1028_t1_20241118,0,298,157,0,0,20,0,475
1029_t1_20241104,3,162,127,0,0,279,2,573
1034_t1_20241213,1,250,167,0,0,23,5,446
1037_t1_20250130,0,294,109,0,0,125,49,577
1040_t1_20241119,0,196,279,0,0,43,1,519
1053_t1_20241206,2,526,71,0,0,12,7,618
1055_t1_20241122,1,334,23,0,0,11,0,369
1060_t1_20250131,7,577,102,1,0,174,0,861
1061_t1_20241202,5,134,136,0,0,129,1,405
1068_t1_2024_11_24,0,179,73,0,0,75,1,328
1069_t1_20241120,1,576,140,0,0,228,0,945
1075_t1_20250107,7,404,85,0,0,247,0,743
1076_t1_20250110,0,211,78,0,0,160,8,457
1104_t1_20250120,8,637,173,0,0,138,0,956
1111_t1_20250206,0,360,106,0,0,114,0,580
114_t1_16052023,1,518,69,0,0,200,0,788
115_t1_20230228,1,471,0,0,0,2,0,474
117_t1_20230124,0,220,109,0,0,104,9,442
119_t1_20230222,3,211,40,0,0,228,0,482
120_t1_20230201,4,172,94,0,0,72,0,342
121_t1_20230223,1,393,44,0,0,97,0,535
123_t1_20230131,0,280,32,0,0,96,0,408
124_t1_20230202,1,317,437,0,0,69,111,935
125_t1_20230201,1,230,109,0,0,184,0,524
129_t1_20230315,0,435,97,0,0,70,4,606
130_t1_20230310,3,174,82,0,0,62,2,323
131_t1_20230315,2,165,123,0,0,296,7,593
132_t1_20230320,2,191,155,0,0,242,4,594
134_t1_20230316,4,725,110,0,0,253,7,1099
135_t1_OBS_20230321,0,170,170,0,0,294,0,634
136_t1_20230328,2,147,53,0,0,243,0,445
137_t1_OBS_20230329,6,121,331,0,0,114,9,581
139_t1_20230621,7,126,40,0,0,139,0,312
140_t1_20230711,0,360,74,0,0,26,5,465
141_t1_OBS_20230404,1,413,67,0,0,65,27,573
142_t1_20230419,3,315,306,0,0,341,23,988
144_t1_20230412,1,365,96,0,0,181,0,643
147_t1_20230427,6,501,289,0,0,227,1,1024
148_t1_2023-06-23,1,319,17,0,0,95,1,433
151_t1_20230515,1,447,97,0,0,26,24,595
155_t1_20230502,2,324,200,0,0,306,2,834
156_t1_20230524,0,263,52,0,0,54,0,369
158_t1_20230525,1,347,172,0,0,186,1,707
159_t1_20230616,3,274,101,0,0,358,5,741
160_t1_20230613,0,508,46,0,0,23,2,579
161_t1_20230530,0,275,16,0,0,10,34,335
162_t1_20230713,0,139,54,0,0,84,0,277
171_t1_20230706,8,866,20,0,0,202,39,1135
173_t1_20230810,0,305,76,0,0,25,0,406
175_t1_17052023,0,413,3,0,0,32,0,448
177_t1_20230525,0,460,138,0,0,84,18,700
198_t1_20230621,1,427,166,1,0,165,18,778
199_t1_20230615,11,519,174,0,0,26,4,734
201_t1_20230620,0,354,10,0,0,156,1,521
202_t1_20230616,0,188,98,0,0,313,28,627
203_t1_20230605,3,459,317,0,0,320,4,1103
207_t1_20230808,2,224,190,0,0,47,3,466
212_t1_20230629,1,466,9,0,0,110,1,587
213_t1_20230714,1,772,84,0,0,113,1,971
216_t1_20230817,1,290,22,0,0,20,12,345
221_t1_20230711,1,210,8,0,0,120,0,339
223_t1_20230707,1,246,404,0,0,172,86,909
226_t1_20230731,0,315,55,0,0,25,2,397
228_t1_20230727,1,526,113,0,0,113,32,785
230_t1_2023-08-16,1,613,15,0,0,79,0,708
231_t1_20230719,10,107,333,1,0,306,6,763
232_t1_20230725,0,437,156,0,0,123,1,717
239_t1_20230821,1,609,124,0,0,68,0,802
240_t1_20230815,3,308,108,0,0,111,3,533
241_t1_20230802,0,442,57,0,0,7,81,587
242_t1_20230816,4,539,140,0,0,124,2,809
245_t1_20230913,2,302,94,0,0,170,21,589
249_t1_20230824,0,315,30,0,0,147,0,492
250_t1_20230802,1,937,65,0,0,210,0,1213
251_t1_20230905,2,189,303,0,0,139,1,634
251_t1_20230911_2,0,210,134,0,0,112,9,465
253_t1_20230912,1,190,99,0,0,218,16,524
254_t1_20230821,0,332,38,0,0,53,0,423
257_t1_20230825,0,63,18,0,0,12,0,93
259_t1_20230901,0,117,30,0,0,13,12,172
260_t1_20230918,1,391,243,0,0,338,6,979
261_t1_20230915,0,365,107,0,0,31,0,503
263_t1_20230921,0,503,43,0,0,148,18,712
266_t1_20230829,0,490,165,0,0,176,0,831
268_t1_20230829,0,452,51,0,0,33,0,536
269_t1_20230907,5,463,53,0,0,72,2,595
270_t1_20232922,1,396,23,0,0,16,0,436
272_t1_20230914,0,550,54,0,0,58,1,663
272_t1_20230920,1,450,59,0,0,43,0,553
273_t1_20230918,1,251,135,0,0,220,1,608
276_t1_20230926,1,0,1,0,0,0,529,531
284_t1_20231006,0,22,340,0,0,2,85,449
286_t1_20231009,1,400,57,0,0,40,1,499
287_t1_20231011,0,424,33,0,0,275,0,732
287_t1_20231018,0,238,90,0,0,375,0,703
288_t1_20231010,0,490,174,0,0,23,3,690
292_t1_20231019,0,451,26,0,0,3,0,480
295_t1_20231016,3,480,63,0,0,58,68,672
296_t1_20231012,1,83,18,0,0,623,0,725
299_t1_2023-10-13,0,127,271,0,0,122,0,520
300_t1_20231027,2,279,226,0,0,99,2,608
303_t1_20231122,0,275,114,0,0,158,3,550
306_t1_20231117,7,367,177,0,0,70,30,651
308_t1_20231004,1,393,40,0,0,17,0,451
310_t1_20231107,2,332,184,0,0,78,30,626
312_t1_20231023,1,226,58,0,0,86,190,561
315_t1_20231102,2,393,162,0,0,133,0,690
318_t1_20231121,1,350,29,0,0,96,3,479
320_t1_20231127,4,121,34,0,0,222,0,381
321_t1_20231121,4,136,398,13,0,19,94,664
324_t1_20231114,4,680,183,0,0,73,58,998
325_t1_20240125,2,482,269,0,0,175,0,928
327_t1_20231128,2,207,103,0,0,149,286,747
337_t1_20231207,2,320,11,0,0,51,0,384
338_t1_20231208,0,208,14,0,0,52,3,277
350_t1_20231117,2,399,46,0,0,177,1,625
371_t1_20231123,1,872,164,0,0,472,0,1509
385_t1_20231206,0,383,178,0,0,155,5,721
386_t1_20231124,1,232,172,0,0,141,0,546
389_t1_20231108,1,735,281,0,0,228,5,1250
399_t1_20240417,0,242,49,0,0,323,0,614
416_t1_20231103,3,422,85,0,0,377,0,887
417_t1_20231031,0,651,0,0,0,5,0,656
418_t1_20231116,0,505,69,0,0,71,0,645
430_t1_20231206,1,311,135,0,0,528,0,975
438_t1_20231211,1,671,239,0,0,424,3,1338
439_t1_20240206,8,629,96,0,0,63,1,797
444_t1_20231212,0,257,155,0,0,114,0,526
447_t1_20231211,0,373,134,0,0,85,35,627
453_t1_20240119,0,348,70,0,0,369,0,787
459_t1_20240124,1,416,26,0,0,235,0,678
460_t1_20240108,1,324,57,0,0,22,11,415
