feature,importance
action_class_21_scaled,0.10008788
action_class_06_scaled,0.08431737
action_class_04_scaled,0.07859921
action_class_22_scaled,0.07696375
action_class_05_scaled,0.07575853
action_class_10_scaled,0.07474554
action_class_49_scaled,0.07442078
action_class_11_scaled,0.073439464
action_class_09_scaled,0.06481549
action_class_39_scaled,0.0644073
action_class_23_scaled,0.062433574
action_class_50_scaled,0.057742618
action_class_12_scaled,0.056661233
action_class_08_scaled,0.05560726
action_class_07_scaled,0.0
action_class_13_scaled,0.0
action_class_03_scaled,0.0
action_class_02_scaled,0.0
action_class_01_scaled,0.0
action_class_00_scaled,0.0
action_class_19_scaled,0.0
action_class_18_scaled,0.0
action_class_17_scaled,0.0
action_class_16_scaled,0.0
action_class_15_scaled,0.0
action_class_14_scaled,0.0
action_class_24_scaled,0.0
action_class_20_scaled,0.0
action_class_28_scaled,0.0
action_class_29_scaled,0.0
action_class_30_scaled,0.0
action_class_31_scaled,0.0
action_class_32_scaled,0.0
action_class_25_scaled,0.0
action_class_26_scaled,0.0
action_class_27_scaled,0.0
action_class_35_scaled,0.0
action_class_34_scaled,0.0
action_class_33_scaled,0.0
action_class_36_scaled,0.0
action_class_40_scaled,0.0
action_class_41_scaled,0.0
action_class_37_scaled,0.0
action_class_38_scaled,0.0
action_class_43_scaled,0.0
action_class_42_scaled,0.0
action_class_44_scaled,0.0
action_class_45_scaled,0.0
action_class_47_scaled,0.0
action_class_46_scaled,0.0
action_class_48_scaled,0.0
action_class_51_scaled,0.0
