feature,importance
action_class_48,0.45577697604549905
action_class_48_scaled,0.4557769760454985
action_class_00_scaled,0.2929202189458887
action_class_00,0.29292021894588827
action_class_25_scaled,0.26666621307389576
action_class_25,0.26666621307389576
action_class_21_scaled,0.22926027868666862
action_class_21,0.22926027868666832
action_class_05,0.17869604794232513
action_class_05_scaled,0.17869604794232435
action_class_22,0.17572589262305083
action_class_22_scaled,0.17572589262305036
action_class_08_scaled,0.17239454492284614
action_class_08,0.17239454492284584
action_class_38,0.16764253410350782
action_class_38_scaled,0.16764253410350782
action_class_39_scaled,0.15642576663080823
action_class_39,0.15642576663080796
action_class_20_scaled,0.14092782392768277
action_class_20,0.14092782392768233
action_class_49,0.13935488783742217
action_class_49_scaled,0.13935488783742142
action_class_09_scaled,0.1364141811607019
action_class_09,0.13641418116070125
action_class_13_scaled,0.12728988117364062
action_class_13,0.12728988117364043
action_class_11_scaled,0.08809056407465811
action_class_11,0.08809056407465744
action_class_23_scaled,0.086284493700153
action_class_23,0.08628449370015284
action_class_10_scaled,0.05067196367644268
action_class_10,0.05067196367644196
action_class_12,0.03346844029470266
action_class_12_scaled,0.033468440294701994
action_class_07,0.027728136391904516
action_class_07_scaled,0.02772813639190329
action_class_50_scaled,0.023745835268029102
action_class_50,0.02374583526802858
action_class_24,0.020346404536815108
action_class_24_scaled,0.020346404536814786
action_class_31_scaled,0.014427594911302534
action_class_31,0.014427594911302404
action_class_04,0.010724126114501709
action_class_04_scaled,0.01072412611450109
action_class_06,0.006944868666906898
action_class_06_scaled,0.006944868666906226
action_class_17_scaled,9.396685558411653e-21
action_class_35,0.0
action_class_36,0.0
action_class_37,0.0
action_class_34,0.0
action_class_14,0.0
action_class_19,0.0
action_class_18,0.0
action_class_17,0.0
action_class_16,0.0
action_class_15,0.0
action_class_03,0.0
action_class_01,0.0
action_class_02,0.0
action_class_33,0.0
action_class_32,0.0
action_class_29,0.0
action_class_30,0.0
action_class_26,0.0
action_class_27,0.0
action_class_28,0.0
action_class_51,0.0
action_class_03_scaled,0.0
action_class_02_scaled,0.0
action_class_01_scaled,0.0
action_class_40,0.0
action_class_19_scaled,0.0
action_class_18_scaled,0.0
action_class_16_scaled,0.0
action_class_15_scaled,0.0
action_class_14_scaled,0.0
action_class_41,0.0
action_class_42,0.0
action_class_43,0.0
action_class_47,0.0
action_class_46,0.0
action_class_45,0.0
action_class_44,0.0
action_class_27_scaled,0.0
action_class_28_scaled,0.0
action_class_29_scaled,0.0
action_class_26_scaled,0.0
action_class_35_scaled,0.0
action_class_34_scaled,0.0
action_class_33_scaled,0.0
action_class_32_scaled,0.0
action_class_30_scaled,0.0
action_class_40_scaled,0.0
action_class_37_scaled,0.0
action_class_36_scaled,0.0
action_class_43_scaled,0.0
action_class_42_scaled,0.0
action_class_41_scaled,0.0
action_class_44_scaled,0.0
action_class_47_scaled,0.0
action_class_46_scaled,0.0
action_class_45_scaled,0.0
action_class_51_scaled,0.0
