feature,importance
cluster_072_scaled,0.050036065
cluster_082_scaled,0.034871202
cluster_047_scaled,0.030640442
cluster_050_scaled,0.02543241
cluster_031_scaled,0.025046067
cluster_076_scaled,0.024452541
total_cluster_activity,0.021803403
cluster_033_scaled,0.021274436
cluster_060_scaled,0.02126693
cluster_diversity,0.019303193
cluster_010_scaled,0.018962454
cluster_098_scaled,0.018472215
cluster_009_scaled,0.017159726
cluster_091_scaled,0.016247695
cluster_067_scaled,0.015814185
cluster_086_scaled,0.014550818
cluster_006_scaled,0.014469319
cluster_016_scaled,0.014467689
cluster_080_scaled,0.014127175
cluster_040_scaled,0.013845111
cluster_095_scaled,0.013687734
cluster_064_scaled,0.012650615
cluster_034_scaled,0.012623852
cluster_088_scaled,0.012599901
cluster_041_scaled,0.012494996
cluster_028_scaled,0.012381492
cluster_061_scaled,0.01201126
num_active_clusters,0.01179392
cluster_025_scaled,0.011282799
cluster_097_scaled,0.011276899
cluster_022_scaled,0.011264073
cluster_005_scaled,0.011087255
cluster_045_scaled,0.011086315
cluster_084_scaled,0.0108493855
cluster_019_scaled,0.010797957
cluster_063_scaled,0.01074992
cluster_023_scaled,0.010362536
cluster_011_scaled,0.0101361545
cluster_057_scaled,0.010072579
cluster_077_scaled,0.009822381
cluster_013_scaled,0.00958746
cluster_071_scaled,0.009445381
cluster_046_scaled,0.009310211
cluster_027_scaled,0.009222409
cluster_087_scaled,0.009130583
cluster_058_scaled,0.009051889
cluster_081_scaled,0.008870599
cluster_003_scaled,0.0088547245
cluster_004_scaled,0.008786531
cluster_051_scaled,0.00862456
cluster_012_scaled,0.008413526
cluster_017_scaled,0.008183988
cluster_000_scaled,0.008176655
cluster_029_scaled,0.008160433
cluster_044_scaled,0.008153922
cluster_085_scaled,0.007869306
cluster_039_scaled,0.0077690803
cluster_056_scaled,0.007625479
cluster_078_scaled,0.0074829157
cluster_015_scaled,0.007460429
cluster_089_scaled,0.0074419854
cluster_002_scaled,0.0072084065
cluster_054_scaled,0.0071146158
cluster_062_scaled,0.006783092
cluster_049_scaled,0.00655813
cluster_014_scaled,0.006493285
cluster_096_scaled,0.0061066695
cluster_066_scaled,0.005880513
cluster_037_scaled,0.0058424296
cluster_048_scaled,0.005740369
cluster_020_scaled,0.0055048726
cluster_079_scaled,0.0054757036
cluster_042_scaled,0.005352488
cluster_036_scaled,0.0052994634
cluster_001_scaled,0.0050585065
cluster_074_scaled,0.004887324
cluster_043_scaled,0.004687698
cluster_030_scaled,0.0046529025
cluster_053_scaled,0.004623997
cluster_069_scaled,0.004541062
cluster_059_scaled,0.0044463505
cluster_024_scaled,0.004388628
cluster_083_scaled,0.0042060767
cluster_038_scaled,0.0041016587
cluster_094_scaled,0.004056332
cluster_021_scaled,0.0034479054
cluster_065_scaled,0.0034394204
cluster_055_scaled,0.0033762283
cluster_093_scaled,0.003311615
cluster_090_scaled,0.00328259
cluster_070_scaled,0.0026372625
cluster_052_scaled,0.002321443
cluster_035_scaled,0.0022675402
cluster_026_scaled,0.0021655941
cluster_068_scaled,0.0017953112
cluster_092_scaled,0.0013233115
cluster_008_scaled,0.0010882561
cluster_032_scaled,0.00089956634
cluster_073_scaled,0.00073626323
cluster_007_scaled,0.0
cluster_018_scaled,0.0
cluster_075_scaled,0.0
cluster_099_scaled,0.0
